source_name	source_dtype	source_shape	transformation	destination_name	destination_dtype	destination_shape	component	role
model.diffusion_model.transformer_blocks.4.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.4.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.4.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.4.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.4.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.4.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.4.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.4.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.5.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.5.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.5.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.5.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.5.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.5.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.5.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.5.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.5.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.6.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.6.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.6.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.6.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.6.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.6.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.6.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.6.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.6.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.7.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.7.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.7.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.7.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.7.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.7.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.7.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.7.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.7.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.8.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.8.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.8.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.8.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.8.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.8.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.8.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.8.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.8.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.9.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.9.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.9.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.9.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.9.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.9.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.9.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.9.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.9.scale_shift_table	BF16	[6,2048]	denoiser	weight
vae.decoder.conv_in.conv.bias	BF16	[1024]	identity_bytes	component.vae.decoder.conv_in.conv.bias	BF16	[1024]	vae.decoder	weight
vae.decoder.conv_in.conv.weight	BF16	[1024,128,3,3,3]	identity_bytes	component.vae.decoder.conv_in.conv.weight	BF16	[1024,128,3,3,3]	vae.decoder	weight
vae.decoder.conv_out.conv.bias	BF16	[48]	identity_bytes	component.vae.decoder.conv_out.conv.bias	BF16	[48]	vae.decoder	weight
vae.decoder.conv_out.conv.weight	BF16	[48,128,3,3,3]	identity_bytes	component.vae.decoder.conv_out.conv.weight	BF16	[48,128,3,3,3]	vae.decoder	weight
