source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.pos_encoder.pe	1050	F32	1,24,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.pos_encoder.pe	F32	1,24,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_k.weight	1046	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.bias	1049	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.weight	1048	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_q.weight	1045	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_v.weight	1047	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.pos_encoder.pe	1056	F32	1,24,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.pos_encoder.pe	F32	1,24,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_k.weight	1052	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.bias	1055	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.weight	1054	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_q.weight	1051	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_v.weight	1053	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.0.proj.bias	1062	F32	2560	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.0.proj.weight	1061	F32	2560,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.2.bias	1064	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.2.weight	1063	F32	320,1280	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff.net.2.weight	F32	320,1280	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff_norm.bias	1066	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff_norm.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff_norm.weight	1065	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.ff_norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.0.bias	1058	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.0.weight	1057	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.0.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.1.bias	1060	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.1.weight	1059	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.transformer_blocks.0.norms.1.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.conv1.bias	996	F32	320	0	identity_bytes	down_blocks.0.resnets.0.conv1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.conv1.weight	995	F32	320,320,3,3	0	identity_bytes	down_blocks.0.resnets.0.conv1.weight	F32	320,320,3,3	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.conv2.bias	1002	F32	320	0	identity_bytes	down_blocks.0.resnets.0.conv2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.conv2.weight	1001	F32	320,320,3,3	0	identity_bytes	down_blocks.0.resnets.0.conv2.weight	F32	320,320,3,3	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.norm1.bias	994	F32	320	0	identity_bytes	down_blocks.0.resnets.0.norm1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.norm1.weight	993	F32	320	0	identity_bytes	down_blocks.0.resnets.0.norm1.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.resnets.0.norm2.bias	1000	F32	320	0	identity_bytes	down_blocks.0.resnets.0.norm2.bias	F32	320	temporal_conditional_unet_2d	weight
